name,pctwhite,pctblack,pctapi,pctaian,pcthispanic
Smith,70.90,22.22,0.50,1.00,2.40
Johnson,58.97,33.80,0.54,0.94,2.36
Williams,45.75,47.68,0.46,0.78,2.55
Brown,57.95,35.62,0.51,0.87,2.49
Jones,55.19,38.48,0.44,0.94,2.36
Garcia,5.54,0.50,0.53,0.19,92.03
Miller,85.81,9.47,0.60,0.67,1.81
Davis,60.32,33.80,0.51,0.84,2.30
Rodriguez,5.32,0.49,0.43,0.12,93.25
Martinez,4.73,0.47,0.48,0.20,92.84
Hernandez,4.55,0.33,0.37,0.12,93.81
Lopez,5.89,0.57,0.74,0.18,91.20
Gonzalez,4.20,0.42,0.45,0.14,93.61
Wilson,69.72,23.77,0.56,1.49,2.30
Anderson,79.67,13.49,0.80,0.98,2.16
Thomas,55.53,38.17,0.59,0.80,2.22
Taylor,67.80,25.56,0.57,0.98,2.55
Moore,61.90,31.38,0.55,0.92,2.47
Jackson,41.93,53.04,0.42,0.98,2.18
Martin,72.78,18.36,0.84,1.11,4.31
Lee,38.97,17.31,37.79,0.75,2.98
Perez,5.53,0.49,0.84,0.17,91.72
Thompson,71.92,21.86,0.56,1.23,2.35
White,63.54,30.72,0.59,1.22,2.40
Harris,51.45,42.43,0.55,0.85,2.18
Sanchez,4.46,0.34,0.59,0.13,93.60
Clark,77.60,15.37,0.65,1.04,2.59
Ramirez,4.27,0.40,0.52,0.14,93.82
Lewis,65.35,29.03,0.51,1.20,2.22
Robinson,37.13,57.93,0.34,0.80,2.01
Walker,61.46,34.31,0.41,0.91,1.89
Young,72.61,19.30,1.93,1.00,2.55
Allen,69.22,25.04,0.56,1.08,2.34
King,59.75,32.71,0.89,0.94,2.94
Wright,72.33,21.52,0.66,1.14,2.49
Scott,57.26,36.98,0.46,0.77,2.11
Torres,5.92,0.60,0.69,0.20,90.78
Nguyen,1.78,0.25,94.16,0.15,1.59
Hill,57.21,35.95,0.42,1.02,2.66
Flores,4.55,0.37,0.46,0.18,92.59
Green,54.90,39.17,0.53,0.97,2.10
Adams,70.38,20.56,0.69,1.52,3.14
Nelson,80.34,12.97,0.69,1.33,2.32
Baker,79.34,14.47,0.68,0.85,2.09
Hall,63.67,30.05,0.56,0.95,2.28
Rivera,6.03,0.55,0.55,0.17,90.88
Campbell,70.79,21.80,0.52,1.67,3.13
Mitchell,62.55,30.35,0.53,1.28,2.54
Carter,52.24,42.41,0.42,0.97,1.98
Roberts,75.16,18.24,0.61,0.84,2.55
Patel,0.27,0.09,98.20,0.02,0.16
Chen,1.31,0.14,95.78,0.07,0.75
Kim,1.58,0.23,94.57,0.12,0.99
Wang,1.45,0.14,96.20,0.06,0.69
Liu,1.47,0.14,95.96,0.06,0.78
Begay,0.62,0.28,0.55,97.13,0.76
Yazzie,0.47,0.10,0.40,97.72,0.70
Benally,0.83,0.20,0.52,96.12,1.05
Tsosie,0.52,0.14,0.47,97.29,0.91
Etsitty,0.71,0.18,0.46,96.80,0.88
Washington,5.16,89.87,0.31,0.59,1.53
Jefferson,14.89,75.61,0.42,0.95,3.82
Banks,22.86,67.93,0.46,0.83,2.89
Charles,25.96,65.52,0.51,0.77,5.03
Booker,18.99,72.76,0.42,0.60,2.13
Mohammed,11.08,40.24,35.40,0.22,1.81
