qid	label	sitelinks
Q937	Albert Einstein	215
Q1339	Johann Sebastian Bach	130
Q5593	Pablo Picasso	170
Q255	Ludwig van Beethoven	180
Q34660	J. K. Rowling	140
Q7199	Charles Darwin	160
Q7243	Leo Tolstoy	140
Q7245	Fyodor Dostoevsky	135
Q5383	Wolfgang Amadeus Mozart	175
Q80	Tim Berners-Lee	120
Q892	Carl Sagan	110
Q7259	Chinua Achebe	95
Q13909	Haruki Murakami	130
Q34787	Nelson Mandela	155
Q76	Barack Obama	190
Q157430	Malala Yousafzai	120
Q9960	Sun Yat-sen	105
Q7197	Marie Curie	175
Q8023	Mahatma Gandhi	165
Q7259	Wole Soyinka	90
Q81214	Ruth Bader Ginsburg	85
Q3772	Sofia Kovalevskaya	75
Q12718	Emmy Noether	85
Q9960	Zhou Enlai	110
Q8016	Winston Churchill	160
Q8605	Kofi Annan	115
Q34012	Angela Merkel	135
Q5043	Pedro Almodóvar	95
Q5339	Akira Kurosawa	125
Q43203	Ang Lee	100
Q57235	Björk Guðmundsdóttir	110
Q1254	Søren Kierkegaard	105
Q41142	François Truffaut	95
Q160226	Chimamanda Ngozi Adichie	90
Q44473	Ai Weiwei	105
