country,type,name
UK,given,Oliver
UK,given,George
UK,given,Harry
UK,given,Jack
UK,given,Amelia
UK,given,Isla
UK,given,Ava
UK,given,Charlotte
UK,surname,Smith
UK,surname,Jones
UK,surname,Williams
UK,surname,Taylor
UK,surname,Brown
DE,given,Ben
DE,given,Paul
DE,given,Jonas
DE,given,Leon
DE,given,Emma
DE,given,Mia
DE,given,Hannah
DE,given,Sophia
DE,surname,Müller
DE,surname,Schmidt
DE,surname,Schneider
DE,surname,Fischer
DE,surname,Weber
FR,given,Lucas
FR,given,Louis
FR,given,Jules
FR,given,Emma
FR,given,Léa
FR,given,Manon
FR,surname,Martin
FR,surname,Bernard
FR,surname,Dubois
FR,surname,Thomas
FR,surname,Robert
IN,given,Aarav
IN,given,Vivaan
IN,given,Aditya
IN,given,Vihaan
IN,given,Ananya
IN,given,Aadhya
IN,given,Saanvi
IN,given,Diya
IN,surname,Kumar
IN,surname,Sharma
IN,surname,Patel
IN,surname,Singh
IN,surname,Gupta
JP,given,Haruto
JP,given,Yuto
JP,given,Sota
JP,given,Hina
JP,given,Yui
JP,given,Sakura
JP,surname,Sato
JP,surname,Suzuki
JP,surname,Takahashi
JP,surname,Tanaka
JP,surname,Watanabe
KR,given,Seojun
KR,given,Haeun
KR,given,Jiho
KR,surname,Kim
KR,surname,Park
KR,surname,Choi
CN,given,Wei
CN,given,Fang
CN,given,Min
CN,surname,Wang
CN,surname,Li
CN,surname,Zhang
CN,surname,Liu
CN,surname,Chen
BR,given,Miguel
BR,given,Arthur
BR,given,Helena
BR,given,Alice
BR,surname,Silva
BR,surname,Santos
BR,surname,Oliveira
BR,surname,Pereira
