ZIP,STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
02108,MA,1.00000,1.00000,1.00000,1.00000
02101,MA,1.00000,1.00000,1.00000,1.00000
02135,MA,1.00000,1.00000,1.00000,1.00000
10001,NY,1.00000,1.00000,1.00000,1.00000
10007,NY,1.00000,1.00000,1.00000,1.00000
10013,NY,1.00000,1.00000,1.00000,1.00000
19101,PA,1.00000,1.00000,1.00000,1.00000
19102,PA,1.00000,1.00000,1.00000,1.00000
20001,DC,1.00000,1.00000,1.00000,1.00000
20024,DC,1.00000,1.00000,1.00000,1.00000
30303,GA,1.00000,1.00000,1.00000,1.00000
30318,GA,1.00000,1.00000,1.00000,1.00000
33101,FL,1.00000,1.00000,1.00000,1.00000
33139,FL,1.00000,1.00000,1.00000,1.00000
44101,OH,1.00000,1.00000,1.00000,1.00000
44113,OH,1.00000,1.00000,1.00000,1.00000
48201,MI,1.00000,1.00000,1.00000,1.00000
48226,MI,1.00000,1.00000,1.00000,1.00000
60601,IL,1.00000,1.00000,1.00000,1.00000
60607,IL,1.00000,1.00000,1.00000,1.00000
75201,TX,1.00000,1.00000,1.00000,1.00000
75202,TX,1.00000,1.00000,1.00000,1.00000
77002,TX,1.00000,1.00000,1.00000,1.00000
77005,TX,1.00000,1.00000,1.00000,1.00000
80202,CO,1.00000,1.00000,1.00000,1.00000
80203,CO,1.00000,1.00000,1.00000,1.00000
90001,CA,1.00000,1.00000,1.00000,1.00000
90210,CA,1.00000,1.00000,1.00000,1.00000
94102,CA,1.00000,1.00000,1.00000,1.00000
94107,CA,1.00000,1.00000,1.00000,1.00000
98101,WA,1.00000,1.00000,1.00000,1.00000
98102,WA,1.00000,1.00000,1.00000,1.00000
